id_venta,fecha,id_cliente,id_producto,id_sucursal,cantidad,precio_unitario,descuento,costo_unitario,ingreso,costo,margen
15242,2024-01-01,C0775,P026,S03,4,1320.5,0.05,855.0,5282.0,3420.0,1862.0
15243,2024-01-01,C0775,P032,S03,4,5700.0,0.0,4253.0,22800.0,17012.0,5788.0
5915,2024-01-01,C0305,P022,S03,4,2060.0,0.0,1410.0,8240.0,5640.0,2600.0
11107,2024-01-01,C0551,P006,S04,3,999.0,0.1,761.0,2997.0,2283.0,714.0
3560,2024-01-01,C0184,P015,S04,1,1440.0,0.0,870.0,1440.0,870.0,570.0
3561,2024-01-01,C0184,P019,S04,1,4075.5,0.05,2704.0,4075.5,2704.0,1371.5
3562,2024-01-01,C0184,P033,S04,1,7900.0,0.0,4926.0,7900.0,4926.0,2974.0
5136,2024-01-01,C0260,P033,S05,16,7900.0,0.0,4926.0,126400.0,78816.0,47584.0
5137,2024-01-01,C0260,P008,S05,23,1050.0,0.0,682.0,24150.0,15686.0,8464.0
5138,2024-01-01,C0260,P035,S05,21,4950.0,0.0,3093.0,103950.0,64953.0,38997.0
11757,2024-01-02,C0583,P011,S01,23,410.0,0.0,319.0,9430.0,7337.0,2093.0
11759,2024-01-02,C0583,P015,S01,20,1440.0,0.0,870.0,28800.0,17400.0,11400.0
11758,2024-01-02,C0583,P024,S01,12,1377.5,0.05,987.0,16530.0,11844.0,4686.0
6175,2024-01-02,C0315,P033,S02,3,7110.0,0.1,4926.0,21330.0,14778.0,6552.0
9431,2024-01-02,C0470,P005,S02,1,1017.79,0.2,1178.0,1017.79,1178.0,-160.21
3931,2024-01-02,C0202,P020,S03,3,2038.77,0.25,2517.0,6116.31,7551.0,-1434.69
3930,2024-01-02,C0202,P015,S03,4,1368.0,0.05,870.0,5472.0,3480.0,1992.0
9430,2024-01-02,C0470,P031,S02,5,2390.0,0.0,1817.0,11950.0,9085.0,2865.0
8051,2024-01-02,C0408,P033,S04,1,7505.0,0.05,4926.0,7505.0,4926.0,2579.0
8050,2024-01-02,C0408,P011,S04,5,410.0,0.0,319.0,2050.0,1595.0,455.0
7970,2024-01-02,C0400,P035,S02,14,4950.0,0.0,3093.0,69300.0,43302.0,25998.0
13550,2024-01-03,C0679,P037,S03,12,4310.0,0.0,3280.0,51720.0,39360.0,12360.0
2064,2024-01-03,C0112,P024,S04,18,1450.0,0.0,987.0,26100.0,17766.0,8334.0
2065,2024-01-03,C0112,P008,S04,14,1050.0,0.0,682.0,14700.0,9548.0,5152.0
2066,2024-01-03,C0112,P001,S04,18,1368.0,0.05,996.0,24624.0,17928.0,6696.0
5669,2024-01-03,C0291,P004,S03,24,1230.0,0.0,773.0,29520.0,18552.0,10968.0
2068,2024-01-03,C0112,P015,S04,25,1440.0,0.0,870.0,36000.0,21750.0,14250.0
2069,2024-01-03,C0112,P009,S04,18,702.76,0.1,723.0,12649.68,13014.0,-364.32
13551,2024-01-03,C0679,P012,S03,24,1415.5,0.05,920.0,33972.0,22080.0,11892.0
5671,2024-01-03,C0291,P016,S03,9,1920.0,0.0,1436.0,17280.0,12924.0,4356.0
5670,2024-01-03,C0291,P006,S03,15,1110.0,0.0,761.0,16650.0,11415.0,5235.0
5668,2024-01-03,C0291,P027,S03,14,750.0,0.0,477.0,10500.0,6678.0,3822.0
9772,2024-01-03,C0491,P005,S04,4,1081.4,0.15,1178.0,4325.6,4712.0,-386.4
9773,2024-01-03,C0491,P028,S04,5,360.0,0.0,222.0,1800.0,1110.0,690.0
10060,2024-01-03,C0502,P031,S02,1,2390.0,0.0,1817.0,2390.0,1817.0,573.0
10061,2024-01-03,C0502,P035,S02,4,4950.0,0.0,3093.0,19800.0,12372.0,7428.0
4291,2024-01-03,C0220,P005,S03,3,954.18,0.25,1178.0,2862.54,3534.0,-671.46
10884,2024-01-03,C0542,P002,S01,22,1080.0,0.0,689.0,23760.0,15158.0,8602.0
10883,2024-01-03,C0542,P009,S01,19,663.71,0.15,723.0,12610.49,13737.0,-1126.51
10532,2024-01-03,C0523,P016,S05,1,1920.0,0.0,1436.0,1920.0,1436.0,484.0
2067,2024-01-03,C0112,P010,S04,23,1634.0,0.05,1269.0,37582.0,29187.0,8395.0
13552,2024-01-03,C0679,P026,S03,12,1390.0,0.0,855.0,16680.0,10260.0,6420.0
13606,2024-01-03,C0682,P024,S03,5,1377.5,0.05,987.0,6887.5,4935.0,1952.5
13604,2024-01-03,C0682,P034,S03,2,840.0,0.0,540.0,1680.0,1080.0,600.0
14668,2024-01-03,C0741,P035,S04,1,4950.0,0.0,3093.0,4950.0,3093.0,1857.0
14667,2024-01-03,C0741,P037,S04,1,4310.0,0.0,3280.0,4310.0,3280.0,1030.0
14666,2024-01-03,C0741,P014,S04,1,2490.0,0.0,1475.0,2490.0,1475.0,1015.0
983,2024-01-03,C0051,P033,S03,5,7110.0,0.1,4926.0,35550.0,24630.0,10920.0
984,2024-01-03,C0051,P032,S03,6,5700.0,0.0,4253.0,34200.0,25518.0,8682.0
13553,2024-01-03,C0679,P028,S03,19,342.0,0.05,222.0,6498.0,4218.0,2280.0
985,2024-01-03,C0051,P015,S03,2,1440.0,0.0,870.0,2880.0,1740.0,1140.0
10534,2024-01-03,C0523,P004,S05,4,1230.0,0.0,773.0,4920.0,3092.0,1828.0
13607,2024-01-03,C0682,P027,S03,3,712.5,0.05,477.0,2137.5,1431.0,706.5
14115,2024-01-03,C0710,P025,S02,23,500.0,0.0,320.0,11500.0,7360.0,4140.0
14114,2024-01-03,C0710,P009,S02,22,624.67,0.2,723.0,13742.74,15906.0,-2163.26
1564,2024-01-03,C0085,P002,S05,5,1080.0,0.0,689.0,5400.0,3445.0,1955.0
13605,2024-01-03,C0682,P008,S03,1,1050.0,0.0,682.0,1050.0,682.0,368.0
14116,2024-01-03,C0710,P028,S02,7,360.0,0.0,222.0,2520.0,1554.0,966.0
10533,2024-01-03,C0523,P028,S05,4,360.0,0.0,222.0,1440.0,888.0,552.0
8081,2024-01-04,C0410,P026,S01,3,1390.0,0.0,855.0,4170.0,2565.0,1605.0
12473,2024-01-04,C0622,P022,S04,3,2060.0,0.0,1410.0,6180.0,4230.0,1950.0
8239,2024-01-04,C0417,P020,S04,2,2310.61,0.15,2517.0,4621.22,5034.0,-412.78
8240,2024-01-04,C0417,P027,S04,1,675.0,0.1,477.0,675.0,477.0,198.0
407,2024-01-04,C0025,P024,S03,2,1305.0,0.1,987.0,2610.0,1974.0,636.0
12648,2024-01-04,C0630,P001,S05,2,1296.0,0.1,996.0,2592.0,1992.0,600.0
12649,2024-01-04,C0630,P006,S05,7,1110.0,0.0,761.0,7770.0,5327.0,2443.0
406,2024-01-04,C0025,P010,S03,3,1548.0,0.1,1269.0,4644.0,3807.0,837.0
14259,2024-01-04,C0715,P020,S03,2,2038.77,0.25,2517.0,4077.54,5034.0,-956.46
15203,2024-01-04,C0769,P035,S03,3,4455.0,0.1,3093.0,13365.0,9279.0,4086.0
1660,2024-01-04,C0089,P022,S03,5,2060.0,0.0,1410.0,10300.0,7050.0,3250.0
5603,2024-01-04,C0284,P020,S03,3,2446.52,0.1,2517.0,7339.56,7551.0,-211.44
15204,2024-01-04,C0769,P017,S03,2,1566.86,0.1,1612.0,3133.72,3224.0,-90.28
15137,2024-01-04,C0765,P001,S03,16,1440.0,0.0,996.0,23040.0,15936.0,7104.0
7344,2024-01-04,C0367,P034,S05,11,840.0,0.0,540.0,9240.0,5940.0,3300.0
7345,2024-01-04,C0367,P007,S05,15,1420.0,0.0,850.0,21300.0,12750.0,8550.0
14261,2024-01-04,C0715,P024,S03,5,1450.0,0.0,987.0,7250.0,4935.0,2315.0
14260,2024-01-04,C0715,P008,S03,7,1050.0,0.0,682.0,7350.0,4774.0,2576.0
10039,2024-01-04,C0501,P020,S03,5,2174.69,0.2,2517.0,10873.45,12585.0,-1711.55
5604,2024-01-04,C0284,P011,S03,1,410.0,0.0,319.0,410.0,319.0,91.0
15138,2024-01-04,C0765,P017,S03,18,1392.77,0.2,1612.0,25069.86,29016.0,-3946.14
3940,2024-01-04,C0202,P010,S03,4,1634.0,0.05,1269.0,6536.0,5076.0,1460.0
3939,2024-01-04,C0202,P018,S03,5,1406.0,0.05,1121.0,7030.0,5605.0,1425.0
11834,2024-01-04,C0585,P022,S04,4,2060.0,0.0,1410.0,8240.0,5640.0,2600.0
11835,2024-01-04,C0585,P017,S04,3,1392.77,0.2,1612.0,4178.31,4836.0,-657.69
11365,2024-01-04,C0563,P026,S03,1,1390.0,0.0,855.0,1390.0,855.0,535.0
11366,2024-01-04,C0563,P024,S03,1,1305.0,0.1,987.0,1305.0,987.0,318.0
76,2024-01-04,C0007,P010,S04,2,1548.0,0.1,1269.0,3096.0,2538.0,558.0
11836,2024-01-04,C0585,P018,S04,2,1406.0,0.05,1121.0,2812.0,2242.0,570.0
3646,2024-01-04,C0188,P022,S02,7,2060.0,0.0,1410.0,14420.0,9870.0,4550.0
3647,2024-01-04,C0188,P006,S02,22,999.0,0.1,761.0,21978.0,16742.0,5236.0
3156,2024-01-04,C0168,P026,S01,2,1390.0,0.0,855.0,2780.0,1710.0,1070.0
1767,2024-01-05,C0094,P011,S05,2,410.0,0.0,319.0,820.0,638.0,182.0
2829,2024-01-05,C0147,P025,S05,2,500.0,0.0,320.0,1000.0,640.0,360.0
2828,2024-01-05,C0147,P012,S05,3,1490.0,0.0,920.0,4470.0,2760.0,1710.0
10928,2024-01-05,C0543,P013,S04,1,2160.0,0.0,1355.0,2160.0,1355.0,805.0
10929,2024-01-05,C0543,P028,S04,1,360.0,0.0,222.0,360.0,222.0,138.0
10930,2024-01-05,C0543,P035,S04,3,4950.0,0.0,3093.0,14850.0,9279.0,5571.0
1562,2024-01-05,C0085,P037,S05,16,4310.0,0.0,3280.0,68960.0,52480.0,16480.0
1766,2024-01-05,C0094,P013,S05,3,2160.0,0.0,1355.0,6480.0,4065.0,2415.0
1561,2024-01-05,C0085,P020,S05,21,2038.77,0.25,2517.0,42814.17,52857.0,-10042.83
1765,2024-01-05,C0094,P035,S05,3,4950.0,0.0,3093.0,14850.0,9279.0,5571.0
1365,2024-01-05,C0075,P001,S03,6,1296.0,0.1,996.0,7776.0,5976.0,1800.0
3079,2024-01-05,C0161,P030,S03,4,1026.0,0.05,781.0,4104.0,3124.0,980.0
1364,2024-01-05,C0075,P030,S03,6,1080.0,0.0,781.0,6480.0,4686.0,1794.0
1363,2024-01-05,C0075,P032,S03,18,5415.0,0.05,4253.0,97470.0,76554.0,20916.0
1362,2024-01-05,C0075,P014,S03,10,2490.0,0.0,1475.0,24900.0,14750.0,10150.0
11966,2024-01-05,C0592,P026,S01,5,1390.0,0.0,855.0,6950.0,4275.0,2675.0
9925,2024-01-05,C0498,P024,S04,6,1377.5,0.05,987.0,8265.0,5922.0,2343.0
